I_bcd,C_mean,C_std,C_smoothed
1,0.9528910492908016,0.4483825510712806,0.9374593611194066
5,1.0524540106044193,0.45744085034726706,0.9191106986391205
9,0.7942871131274059,0.5083257950778577,0.8883120279819817
13,0.8635388389927018,0.44288408662715034,0.8542516120909064
17,0.8406609198431697,0.3074325108324887,0.8256991534678512
21,0.6851942723355097,0.3189601203117793,0.8081398683812417
25,0.8391576077310156,0.46693076581242443,0.8023957826170693
29,0.7881804384639634,0.43675126996486796,0.8050678696379037
33,0.8329409821047061,0.27124937359869844,0.8107128584331105
37,0.7870512848001623,0.4461898186994303,0.81411948315565
41,0.8734092057556279,0.37722340076794225,0.8119525475296118
45,0.8533329146379882,0.43379878459570204,0.8044560097951448
49,0.6943369957700434,0.35637779950754517,0.7961235239862512
53,0.7912785959754048,0.5343733426857943,0.7935045032202799
57,0.834297687719309,0.34804877472376633,0.8016007952532023
61,0.6836163657235523,0.3960622736028064,0.8213408967197704
65,0.8788777911748082,0.3489648708863898,0.8484467116174947
69,0.9693610687508052,0.3650501629965543,0.8748595793492535
73,0.8893134371236048,0.38861202451121835,0.8935743026419385
77,0.9093901444575329,0.33349232649183697,0.9024431387453444
